Yardline,Quarter,Yds_to_go,Time_remaining,Wind_speed,Timeouts,Score_differential,Offense_strength,Opp_defense_strength
31.0,4.0,6.0,178.0,1.0,1.0,4.0,-0.0494160799128072,-0.0279916586737624
46.0,1.0,9.0,3465.0,4.0,3.0,0.0,-0.0494160799128072,0.0497937866677735
20.0,1.0,7.0,3061.0,4.0,3.0,0.0,-0.0494160799128072,0.0497937866677735
79.0,2.0,4.0,2691.0,4.0,3.0,3.0,-0.0494160799128072,0.0497937866677735
41.0,2.0,3.0,1869.0,4.0,2.0,17.0,-0.0494160799128072,0.0497937866677735
63.0,3.0,8.0,1460.0,4.0,2.0,13.0,-0.0494160799128072,0.0497937866677735
65.0,3.0,8.0,1294.0,4.0,2.0,13.0,-0.0494160799128072,0.0497937866677735
33.0,4.0,9.0,419.0,4.0,2.0,7.0,-0.0494160799128072,0.0497937866677735
41.0,1.0,3.0,2968.0,12.0,2.0,-7.0,-0.0494160799128072,0.0280250193339084
29.0,3.0,6.0,1510.0,12.0,3.0,-6.0,-0.0494160799128072,0.0280250193339084
78.0,4.0,10.0,636.0,12.0,2.0,8.0,-0.0494160799128072,0.0280250193339084
68.0,4.0,3.0,154.0,12.0,2.0,2.0,-0.0494160799128072,0.0280250193339084
13.0,1.0,9.0,3229.0,0.0,3.0,0.0,-0.0494160799128072,-0.0181295755429661
76.0,1.0,10.0,3076.0,0.0,3.0,3.0,-0.0494160799128072,-0.0181295755429661
61.0,1.0,4.0,2910.0,0.0,3.0,3.0,-0.0494160799128072,-0.0181295755429661
1.0,2.0,1.0,2476.0,0.0,3.0,3.0,-0.0494160799128072,-0.0181295755429661
43.0,3.0,5.0,1571.0,0.0,3.0,7.0,-0.0494160799128072,-0.0181295755429661
41.0,3.0,15.0,1341.0,0.0,3.0,7.0,-0.0494160799128072,-0.0181295755429661
25.0,3.0,11.0,908.0,0.0,3.0,14.0,-0.0494160799128072,-0.0181295755429661
47.0,4.0,2.0,408.0,0.0,2.0,17.0,-0.0494160799128072,-0.0181295755429661
19.0,1.0,1.0,3307.0,14.0,2.0,0.0,-0.0494160799128072,-0.0548075256200168
12.0,1.0,12.0,3098.0,14.0,2.0,0.0,-0.0494160799128072,-0.0548075256200168
21.0,2.0,9.0,1920.0,14.0,2.0,3.0,-0.0494160799128072,-0.0548075256200168
66.0,2.0,6.0,1819.0,14.0,1.0,6.0,-0.0494160799128072,-0.0548075256200168
18.0,3.0,4.0,1469.0,14.0,3.0,6.0,-0.0494160799128072,-0.0548075256200168
68.0,3.0,3.0,1273.0,14.0,3.0,6.0,-0.0494160799128072,-0.0548075256200168
59.0,4.0,10.0,165.0,14.0,2.0,7.0,-0.0494160799128072,-0.0548075256200168
49.0,1.0,4.0,3248.0,12.0,3.0,-7.0,-0.0494160799128072,0.0275294113230999
63.0,1.0,8.0,3082.0,12.0,3.0,-7.0,-0.0494160799128072,0.0275294113230999
